epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1340.61,1.15987,1.73156,0.8227,1.01968,0.888,0.82619,0.8759,0.59153,0.88746,0.82531,0.87041,0.47289,1.20436,1.68876,0.86127,1.068,0.00126817,0.00126817,0.00126817
31,1388.97,1.11959,1.69789,0.79643,0.99909,0.9016,0.84866,0.89077,0.59899,0.90265,0.83981,0.88208,0.4831,1.17207,1.64769,0.80866,1.05122,0.00125442,0.00125442,0.00125442
32,1430.27,1.14174,1.67867,0.80281,1.01099,0.92015,0.82894,0.8935,0.59167,0.90073,0.85282,0.89011,0.4785,1.18415,1.64275,0.81818,1.04434,0.00124066,0.00124066,0.00124066
33,1475.07,1.12884,1.67211,0.79036,1.0118,0.88103,0.84284,0.89402,0.59744,0.87478,0.83827,0.88781,0.4777,1.17404,1.63253,0.806,1.04253,0.00122691,0.00122691,0.00122691
34,1545.28,1.13594,1.6898,0.79872,1.00449,0.9167,0.83954,0.89119,0.5935,0.91115,0.83554,0.88125,0.47416,1.16872,1.63562,0.83325,1.04515,0.00121316,0.00121316,0.00121316
35,1568.29,1.10975,1.65361,0.80354,1.00291,0.90439,0.8422,0.89524,0.58903,0.90455,0.83526,0.89431,0.47417,1.17236,1.60937,0.80357,1.0504,0.00119941,0.00119941,0.00119941
36,1599.51,1.11131,1.65324,0.77255,0.99841,0.92278,0.83104,0.88858,0.59072,0.91218,0.81892,0.87594,0.46787,1.19614,1.65483,0.81932,1.07531,0.00118565,0.00118565,0.00118565
37,1646.56,1.09624,1.66099,0.76146,0.9918,0.89502,0.85766,0.88948,0.59546,0.87999,0.84433,0.87547,0.46278,1.17312,1.68505,0.81355,1.04756,0.0011719,0.0011719,0.0011719
38,1670.17,1.08396,1.63339,0.75282,0.98459,0.91321,0.84376,0.89509,0.60388,0.90963,0.84011,0.89092,0.49812,1.16667,1.6131,0.80336,1.05461,0.00115815,0.00115815,0.00115815
39,1706.22,1.08971,1.64036,0.76159,0.99285,0.893,0.84829,0.89157,0.60668,0.88773,0.84223,0.87817,0.48232,1.14408,1.64409,0.80165,1.04003,0.0011444,0.0011444,0.0011444
40,1741.37,1.07802,1.65096,0.73022,0.98489,0.88866,0.85146,0.89231,0.60815,0.89996,0.84528,0.88547,0.49103,1.16628,1.62435,0.81413,1.04785,0.00113064,0.00113064,0.00113064
41,1771.61,1.07694,1.64274,0.73871,0.99148,0.88259,0.86769,0.89167,0.61174,0.88086,0.85131,0.88054,0.48881,1.14843,1.61469,0.78274,1.05019,0.00111689,0.00111689,0.00111689
42,1802.62,1.087,1.6097,0.72199,0.9837,0.91326,0.84376,0.89165,0.60385,0.90695,0.83551,0.88408,0.48354,1.16705,1.63448,0.79011,1.0439,0.00110314,0.00110314,0.00110314
43,1845.56,1.10421,1.62934,0.73087,0.98445,0.91518,0.83556,0.89265,0.60814,0.90602,0.8295,0.88635,0.49498,1.17016,1.62538,0.81548,1.0478,0.00108938,0.00108938,0.00108938
44,1879.03,1.07951,1.61376,0.72465,0.98401,0.91978,0.84526,0.89544,0.60502,0.91272,0.8383,0.88534,0.4923,1.16263,1.63685,0.78994,1.05096,0.00107563,0.00107563,0.00107563
45,1925.74,1.06273,1.595,0.70658,0.97957,0.92269,0.84278,0.89854,0.61946,0.91912,0.83556,0.88812,0.4954,1.14859,1.59809,0.79152,1.0406,0.00106188,0.00106188,0.00106188
46,1958.55,1.03696,1.59023,0.68865,0.97605,0.90424,0.8565,0.8937,0.60446,0.89345,0.84405,0.88068,0.49233,1.1589,1.59249,0.75944,1.05765,0.00104813,0.00104813,0.00104813
47,2095.26,1.04537,1.56466,0.69577,0.97173,0.90665,0.86405,0.89741,0.60422,0.89704,0.85596,0.88575,0.49559,1.15837,1.58022,0.76222,1.05622,0.00103437,0.00103437,0.00103437
48,2151.57,1.05822,1.5926,0.69305,0.97303,0.90233,0.85349,0.90071,0.61435,0.89671,0.84785,0.89439,0.499,1.14421,1.58795,0.75745,1.05622,0.00102062,0.00102062,0.00102062
49,2193.14,1.04802,1.5704,0.67763,0.97731,0.90741,0.85128,0.89953,0.61138,0.91218,0.82834,0.88835,0.4882,1.17031,1.63752,0.76961,1.05655,0.00100687,0.00100687,0.00100687
50,2234.34,1.06891,1.59815,0.69057,0.97844,0.91171,0.84591,0.89534,0.61129,0.90098,0.83822,0.88407,0.48805,1.17282,1.6019,0.76141,1.05939,0.000993115,0.000993115,0.000993115
51,2258.42,1.0379,1.55404,0.67937,0.96864,0.92127,0.83985,0.89723,0.6127,0.92174,0.83409,0.89166,0.48604,1.14761,1.57251,0.76834,1.05353,0.000979362,0.000979362,0.000979362
52,2293.94,1.03078,1.55161,0.66937,0.95747,0.9135,0.84862,0.90305,0.62004,0.90415,0.835,0.88919,0.49298,1.14866,1.59425,0.75903,1.05578,0.00096561,0.00096561,0.00096561
53,2418.19,1.01969,1.52562,0.66375,0.95806,0.90599,0.84878,0.89526,0.61836,0.89752,0.83892,0.87972,0.49261,1.14975,1.63302,0.775,1.05756,0.000951857,0.000951857,0.000951857
54,2456.14,1.03146,1.56654,0.67443,0.96415,0.90215,0.85589,0.89983,0.62024,0.90033,0.85193,0.89557,0.49878,1.15311,1.57965,0.75301,1.05596,0.000938104,0.000938104,0.000938104
55,2482.71,1.03546,1.55117,0.67525,0.96894,0.90639,0.85435,0.90336,0.61544,0.92164,0.83981,0.898,0.49927,1.15127,1.57176,0.75957,1.06482,0.000924352,0.000924352,0.000924352
56,2507.37,1.01235,1.53175,0.66617,0.96643,0.90069,0.85676,0.89011,0.6019,0.89934,0.84437,0.88092,0.48477,1.17179,1.62002,0.76912,1.07046,0.000910599,0.000910599,0.000910599
57,2540.15,1.0262,1.51989,0.66384,0.96055,0.90096,0.85258,0.89741,0.61764,0.90497,0.83762,0.88768,0.4939,1.14535,1.59494,0.7785,1.04824,0.000896846,0.000896846,0.000896846
58,2593.92,1.03108,1.53993,0.66646,0.96747,0.90955,0.8491,0.89899,0.61345,0.90151,0.84134,0.88782,0.49776,1.14897,1.58339,0.77127,1.05055,0.000883093,0.000883093,0.000883093
